attribute_index,attribute_id,raw_attribute_name,attribute_phrase,attribute_prompt,clip_readable_subset,condition,visible,positive,negative,positive_prevalence,pair_count,ranking_accuracy,precision_at_1,precision_at_5,precision_at_10
28,29,has_upperparts_color::rufous,rufous upperparts,a photo of a bird with rufous upperparts.,False,native_source,5050,70,4980,0.013861386138613862,348600,0.6298709122203098,0.0,0.0,0.0
29,30,has_upperparts_color::grey,grey upperparts,a photo of a bird with grey upperparts.,False,native_source,5050,1711,3339,0.33881188118811884,5713029,0.6366518531588059,1.0,1.0,0.7
30,31,has_upperparts_color::yellow,yellow upperparts,a photo of a bird with yellow upperparts.,False,native_source,5050,543,4507,0.10752475247524752,2447301,0.8747309791480492,1.0,0.6,0.6
31,32,has_upperparts_color::olive,olive upperparts,a photo of a bird with olive upperparts.,False,native_source,5050,223,4827,0.044158415841584156,1076421,0.644753307488427,1.0,0.4,0.3
32,33,has_upperparts_color::green,green upperparts,a photo of a bird with green upperparts.,False,native_source,5050,108,4942,0.021386138613861388,533736,0.8200008993210126,0.0,0.4,0.5
33,34,has_upperparts_color::pink,pink upperparts,a photo of a bird with pink upperparts.,False,native_source,5050,28,5022,0.005544554455445544,140616,0.5676594413153553,0.0,0.2,0.3
34,35,has_upperparts_color::orange,orange upperparts,a photo of a bird with orange upperparts.,False,native_source,5050,149,4901,0.029504950495049503,730249,0.7496716873285687,0.0,0.0,0.3
35,36,has_upperparts_color::black,black upperparts,a photo of a bird with black upperparts.,False,native_source,5050,2273,2777,0.4500990099009901,6312121,0.6022779031010337,1.0,1.0,1.0
36,37,has_upperparts_color::white,white upperparts,a photo of a bird with white upperparts.,False,native_source,5050,1349,3701,0.26712871287128714,4992649,0.6040091141996964,0.0,0.4,0.5
37,38,has_upperparts_color::red,red upperparts,a photo of a bird with red upperparts.,False,native_source,5050,126,4924,0.024950495049504952,620424,0.8550120562711951,1.0,0.4,0.3
38,39,has_upperparts_color::buff,buff upperparts,a photo of a bird with buff upperparts.,False,native_source,5050,997,4053,0.19742574257425743,4040841,0.582376168723293,1.0,0.4,0.3
39,40,has_underparts_color::blue,blue underparts,a photo of a bird with blue underparts.,False,native_source,5234,174,5060,0.03324417271685136,880440,0.862555086093317,0.0,0.4,0.4
40,41,has_underparts_color::brown,brown underparts,a photo of a bird with brown underparts.,False,native_source,5234,593,4641,0.11329766908674055,2752113,0.6495976000985425,0.0,0.2,0.1
41,42,has_underparts_color::iridescent,iridescent underparts,a photo of a bird with iridescent underparts.,False,native_source,5234,92,5142,0.01757737867787543,473064,0.6969648926995079,0.0,0.0,0.1
42,43,has_underparts_color::purple,purple underparts,a photo of a bird with purple underparts.,False,native_source,5234,24,5210,0.0045854031333588076,125040,0.6743362124120281,0.0,0.2,0.1
43,44,has_underparts_color::rufous,rufous underparts,a photo of a bird with rufous underparts.,False,native_source,5234,88,5146,0.016813144822315627,452848,0.6250596226548423,0.0,0.0,0.0
44,45,has_underparts_color::grey,grey underparts,a photo of a bird with grey underparts.,False,native_source,5234,1081,4153,0.2065341994650363,4489393,0.6586516261775256,1.0,0.6,0.5
45,46,has_underparts_color::yellow,yellow underparts,a photo of a bird with yellow underparts.,False,native_source,5234,866,4368,0.16545662972869699,3782688,0.8994677858707881,1.0,0.6,0.7
46,47,has_underparts_color::olive,olive underparts,a photo of a bird with olive underparts.,False,native_source,5234,132,5102,0.025219717233473445,673464,0.693071938514902,0.0,0.2,0.3
47,48,has_underparts_color::green,green underparts,a photo of a bird with green underparts.,False,native_source,5234,81,5153,0.015475735575085976,417393,0.8571034971837094,0.0,0.2,0.3
48,49,has_underparts_color::pink,pink underparts,a photo of a bird with pink underparts.,False,native_source,5234,24,5210,0.0045854031333588076,125040,0.6538867562380039,0.0,0.2,0.2
49,50,has_underparts_color::orange,orange underparts,a photo of a bird with orange underparts.,False,native_source,5234,189,5045,0.03611004967520061,953505,0.8257869649346359,1.0,0.8,0.6
50,51,has_underparts_color::black,black underparts,a photo of a bird with black underparts.,False,native_source,5234,1024,4210,0.19564386702330913,4311040,0.6538938400014845,1.0,1.0,0.9
51,52,has_underparts_color::white,white underparts,a photo of a bird with white underparts.,False,native_source,5234,2267,2967,0.43312953763851736,6726189,0.6787676498534311,1.0,0.8,0.7
52,53,has_underparts_color::red,red underparts,a photo of a bird with red underparts.,False,native_source,5234,211,5023,0.04031333588077952,1059853,0.8961525796501968,1.0,0.6,0.7
53,54,has_underparts_color::buff,buff underparts,a photo of a bird with buff underparts.,False,native_source,5234,1053,4181,0.20118456247611768,4402593,0.5599495569997045,0.0,0.4,0.6
54,55,has_breast_pattern::solid,solid breast,a photo of a bird with solid breast.,True,native_source,5265,3154,2111,0.5990503323836657,6658094,0.5037683457157559,0.0,0.6,0.7
55,56,has_breast_pattern::spotted,spotted breast,a photo of a bird with spotted breast.,True,native_source,5265,311,4954,0.059069325735992405,1540694,0.6529301081201069,1.0,0.4,0.2
56,57,has_breast_pattern::striped,striped breast,a photo of a bird with striped breast.,True,native_source,5265,682,4583,0.1295346628679962,3125606,0.6431946316970213,1.0,0.2,0.2
57,58,has_breast_pattern::multi-colored,multi colored breast,a photo of a bird with multi colored breast.,True,native_source,5265,1118,4147,0.2123456790123457,4636346,0.5789426630367966,0.0,0.4,0.4
58,59,has_back_color::blue,blue back,a photo of a bird with blue back.,False,native_source,4530,249,4281,0.05496688741721854,1065969,0.9163080727488323,1.0,1.0,0.9
59,60,has_back_color::brown,brown back,a photo of a bird with brown back.,True,native_source,4530,1105,3425,0.24392935982339956,3784625,0.6912596360273475,0.0,0.2,0.3
60,61,has_back_color::iridescent,iridescent back,a photo of a bird with iridescent back.,False,native_source,4530,102,4428,0.022516556291390728,451656,0.684932780700356,0.0,0.2,0.1
61,62,has_back_color::purple,purple back,a photo of a bird with purple back.,False,native_source,4530,17,4513,0.0037527593818984547,76721,0.6208730334588966,0.0,0.0,0.0
62,63,has_back_color::rufous,rufous back,a photo of a bird with rufous back.,False,native_source,4530,57,4473,0.012582781456953643,254961,0.5709088841038433,0.0,0.0,0.0
63,64,has_back_color::grey,grey back,a photo of a bird with grey back.,True,native_source,4530,1427,3103,0.3150110375275938,4427981,0.6610854924625919,1.0,0.8,0.8
64,65,has_back_color::yellow,yellow back,a photo of a bird with yellow back.,True,native_source,4530,422,4108,0.09315673289183223,1733576,0.8733764772931789,1.0,0.6,0.5
65,66,has_back_color::olive,olive back,a photo of a bird with olive back.,False,native_source,4530,196,4334,0.04326710816777042,849464,0.6138035278716932,1.0,0.6,0.3
66,67,has_back_color::green,green back,a photo of a bird with green back.,False,native_source,4530,87,4443,0.019205298013245033,386541,0.8389317045281096,0.0,0.2,0.3
67,68,has_back_color::pink,pink back,a photo of a bird with pink back.,False,native_source,4530,20,4510,0.004415011037527594,90200,0.5620620842572062,0.0,0.0,0.1
68,69,has_back_color::orange,orange back,a photo of a bird with orange back.,False,native_source,4530,94,4436,0.02075055187637969,416984,0.6960135161061336,1.0,0.4,0.3
69,70,has_back_color::black,black back,a photo of a bird with black back.,True,native_source,4530,1663,2867,0.36710816777041944,4767821,0.6265302325737481,1.0,0.8,0.9
70,71,has_back_color::white,white back,a photo of a bird with white back.,True,native_source,4530,893,3637,0.19713024282560707,3247841,0.6500047262165851,0.0,0.6,0.7
71,72,has_back_color::red,red back,a photo of a bird with red back.,False,native_source,4530,103,4427,0.022737306843267108,455981,0.8495989964494135,1.0,0.8,0.8
72,73,has_back_color::buff,buff back,a photo of a bird with buff back.,False,native_source,4530,841,3689,0.1856512141280353,3102449,0.4908417511456272,0.0,0.2,0.2
73,74,has_tail_shape::forked_tail,forked tail,a photo of a bird with forked tail.,True,native_source,4586,198,4388,0.043174880069777585,868824,0.5205358047199433,0.0,0.2,0.2
74,75,has_tail_shape::rounded_tail,rounded tail,a photo of a bird with rounded tail.,True,native_source,4586,652,3934,0.14217182730047973,2564968,0.49315839417879676,0.0,0.0,0.1
75,76,has_tail_shape::notched_tail,notched tail,a photo of a bird with notched tail.,True,native_source,4586,1715,2871,0.373964238988225,4923765,0.5208100914645601,0.0,0.2,0.2
76,77,has_tail_shape::fan-shaped_tail,fan shaped tail,a photo of a bird with fan shaped tail.,True,native_source,4586,436,4150,0.09507195813344962,1809400,0.4708676909472753,0.0,0.0,0.0
77,78,has_tail_shape::pointed_tail,pointed tail,a photo of a bird with pointed tail.,True,native_source,4586,1048,3538,0.2285215874400349,3707824,0.49959126970427936,0.0,0.2,0.2
78,79,has_tail_shape::squared_tail,squared tail,a photo of a bird with squared tail.,True,native_source,4586,537,4049,0.11709550806803315,2174313,0.5081515402796194,0.0,0.0,0.0
79,80,has_upper_tail_color::blue,blue upper tail,a photo of a bird with blue upper tail.,False,native_source,3855,214,3641,0.05551232166018158,779174,0.9149034747052648,1.0,0.8,0.8
80,81,has_upper_tail_color::brown,brown upper tail,a photo of a bird with brown upper tail.,False,native_source,3855,828,3027,0.21478599221789882,2506356,0.6805320154040367,0.0,0.2,0.5
81,82,has_upper_tail_color::iridescent,iridescent upper tail,a photo of a bird with iridescent upper tail.,False,native_source,3855,63,3792,0.01634241245136187,238896,0.656938584153774,0.0,0.0,0.1
82,83,has_upper_tail_color::purple,purple upper tail,a photo of a bird with purple upper tail.,False,native_source,3855,16,3839,0.004150453955901427,61424,0.505421333680646,0.0,0.0,0.0
83,84,has_upper_tail_color::rufous,rufous upper tail,a photo of a bird with rufous upper tail.,False,native_source,3855,40,3815,0.010376134889753566,152600,0.6003211009174312,0.0,0.0,0.0
84,85,has_upper_tail_color::grey,grey upper tail,a photo of a bird with grey upper tail.,False,native_source,3855,1070,2785,0.2775616083009079,2979950,0.609973825064179,1.0,0.8,0.5
85,86,has_upper_tail_color::yellow,yellow upper tail,a photo of a bird with yellow upper tail.,False,native_source,3855,258,3597,0.0669260700389105,928026,0.8417770622805827,0.0,0.4,0.5
86,87,has_upper_tail_color::olive,olive upper tail,a photo of a bird with olive upper tail.,False,native_source,3855,131,3724,0.03398184176394293,487844,0.6524052770967769,1.0,0.2,0.2
87,88,has_upper_tail_color::green,green upper tail,a photo of a bird with green upper tail.,False,native_source,3855,46,3809,0.011932555123216601,175214,0.7759026105219903,0.0,0.2,0.1
88,89,has_upper_tail_color::pink,pink upper tail,a photo of a bird with pink upper tail.,False,native_source,3855,29,3826,0.007522697795071336,110954,0.5137985110946879,0.0,0.0,0.1
89,90,has_upper_tail_color::orange,orange upper tail,a photo of a bird with orange upper tail.,False,native_source,3855,87,3768,0.022568093385214007,327816,0.681970983722576,0.0,0.0,0.1
90,91,has_upper_tail_color::black,black upper tail,a photo of a bird with black upper tail.,False,native_source,3855,1480,2375,0.383916990920882,3515000,0.5751190611664296,1.0,0.8,0.8
91,92,has_upper_tail_color::white,white upper tail,a photo of a bird with white upper tail.,False,native_source,3855,730,3125,0.1893644617380026,2281250,0.5639081643835616,0.0,0.4,0.3
92,93,has_upper_tail_color::red,red upper tail,a photo of a bird with red upper tail.,False,native_source,3855,83,3772,0.02153047989623865,313076,0.8402528459543369,0.0,0.2,0.2
93,94,has_upper_tail_color::buff,buff upper tail,a photo of a bird with buff upper tail.,False,native_source,3855,631,3224,0.16368352788586252,2034344,0.5478237702178196,0.0,0.2,0.1
94,95,has_head_pattern::spotted,spotted head,a photo of a bird with spotted head.,False,native_source,5592,159,5433,0.028433476394849784,863847,0.5673545199555013,0.0,0.0,0.1
95,96,has_head_pattern::malar,malar head,a photo of a bird with malar head.,False,native_source,5592,558,5034,0.09978540772532189,2808972,0.4785836241870691,0.0,0.0,0.0
96,97,has_head_pattern::crested,crested head,a photo of a bird with crested head.,True,native_source,5592,227,5365,0.040593705293276106,1217855,0.7297477942776439,0.0,0.4,0.4
97,98,has_head_pattern::masked,masked head,a photo of a bird with masked head.,True,native_source,5592,252,5340,0.045064377682403435,1345680,0.5620132572379763,0.0,0.0,0.0
98,99,has_head_pattern::unique_pattern,unique pattern head,a photo of a bird with unique pattern head.,False,native_source,5592,185,5407,0.0330829756795422,1000295,0.5124323324619238,0.0,0.0,0.0
99,100,has_head_pattern::eyebrow,eyebrow head,a photo of a bird with eyebrow head.,False,native_source,5592,708,4884,0.12660944206008584,3457872,0.4730331255754985,0.0,0.0,0.0
100,101,has_head_pattern::eyering,eyering head,a photo of a bird with eyering head.,True,native_source,5592,926,4666,0.1655937052932761,4320716,0.5357929102491347,0.0,0.2,0.4
101,102,has_head_pattern::plain,plain head,a photo of a bird with plain head.,True,native_source,5592,1537,4055,0.2748569384835479,6232535,0.5551584547860542,1.0,0.6,0.6
102,103,has_head_pattern::eyeline,eyeline head,a photo of a bird with eyeline head.,True,native_source,5592,670,4922,0.1198140200286123,3297740,0.5185096459999878,0.0,0.0,0.2
103,104,has_head_pattern::striped,striped head,a photo of a bird with striped head.,True,native_source,5592,392,5200,0.07010014306151645,2038400,0.6573339383830455,0.0,0.4,0.4
104,105,has_head_pattern::capped,capped head,a photo of a bird with capped head.,True,native_source,5592,668,4924,0.11945636623748211,3289232,0.5438286201763816,0.0,0.4,0.4
105,106,has_breast_color::blue,blue breast,a photo of a bird with blue breast.,False,native_source,5317,178,5139,0.033477524920067704,914742,0.8797650047773033,0.0,0.2,0.3
106,107,has_breast_color::brown,brown breast,a photo of a bird with brown breast.,True,native_source,5317,639,4678,0.12018055294338913,2989242,0.6393110694952098,0.0,0.2,0.3
107,108,has_breast_color::iridescent,iridescent breast,a photo of a bird with iridescent breast.,False,native_source,5317,90,5227,0.016926838442730862,470430,0.6860319282358693,0.0,0.6,0.4
108,109,has_breast_color::purple,purple breast,a photo of a bird with purple breast.,False,native_source,5317,17,5300,0.003197291705849163,90100,0.6522974472807991,0.0,0.0,0.0
109,110,has_breast_color::rufous,rufous breast,a photo of a bird with rufous breast.,False,native_source,5317,77,5240,0.014481850667669738,403480,0.6596336869237632,0.0,0.0,0.2
110,111,has_breast_color::grey,grey breast,a photo of a bird with grey breast.,True,native_source,5317,1084,4233,0.2038743652435584,4588572,0.6797600647870405,1.0,1.0,0.7
111,112,has_breast_color::yellow,yellow breast,a photo of a bird with yellow breast.,True,native_source,5317,794,4523,0.14933233026142562,3591262,0.889752961493759,1.0,0.6,0.7
112,113,has_breast_color::olive,olive breast,a photo of a bird with olive breast.,False,native_source,5317,104,5213,0.019559902200488997,542152,0.6876743053608582,0.0,0.2,0.1
113,114,has_breast_color::green,green breast,a photo of a bird with green breast.,False,native_source,5317,63,5254,0.011848786909911604,331002,0.8368771185672594,0.0,0.4,0.4
114,115,has_breast_color::pink,pink breast,a photo of a bird with pink breast.,False,native_source,5317,25,5292,0.0047018995674252394,132300,0.5742176870748299,0.0,0.0,0.1
115,116,has_breast_color::orange,orange breast,a photo of a bird with orange breast.,True,native_source,5317,170,5147,0.03197291705849163,874990,0.7982194082218083,0.0,0.4,0.5
116,117,has_breast_color::black,black breast,a photo of a bird with black breast.,True,native_source,5317,1176,4141,0.22117735565168328,4869816,0.6162887879131368,1.0,0.8,0.7
117,118,has_breast_color::white,white breast,a photo of a bird with white breast.,True,native_source,5317,2080,3237,0.39119804400978,6732960,0.6574903162947648,1.0,1.0,1.0
118,119,has_breast_color::red,red breast,a photo of a bird with red breast.,True,native_source,5317,233,5084,0.043821703968403236,1184572,0.8830050009623729,0.0,0.8,0.6
119,120,has_breast_color::buff,buff breast,a photo of a bird with buff breast.,False,native_source,5317,996,4321,0.18732367876622155,4303716,0.5168378907901916,0.0,0.0,0.1
120,121,has_throat_color::blue,blue throat,a photo of a bird with blue throat.,False,native_source,5522,182,5340,0.03295907279971025,971880,0.8758715067703832,1.0,0.6,0.6
121,122,has_throat_color::brown,brown throat,a photo of a bird with brown throat.,True,native_source,5522,476,5046,0.08620065193770374,2401896,0.6169750896791535,0.0,0.2,0.1
122,123,has_throat_color::iridescent,iridescent throat,a photo of a bird with iridescent throat.,False,native_source,5522,88,5434,0.01593625498007968,478192,0.6501321644862315,0.0,0.2,0.1
123,124,has_throat_color::purple,purple throat,a photo of a bird with purple throat.,False,native_source,5522,28,5494,0.0050706265845708075,153832,0.740418118466899,0.0,0.0,0.1
124,125,has_throat_color::rufous,rufous throat,a photo of a bird with rufous throat.,False,native_source,5522,74,5448,0.013400941687794278,403152,0.5936123348017621,0.0,0.2,0.1
125,126,has_throat_color::grey,grey throat,a photo of a bird with grey throat.,True,native_source,5522,992,4530,0.17964505613908005,4493760,0.6390162135939614,0.0,0.6,0.5
126,127,has_throat_color::yellow,yellow throat,a photo of a bird with yellow throat.,True,native_source,5522,653,4869,0.11825425570445491,3179457,0.8658682913466041,0.0,0.4,0.6
127,128,has_throat_color::olive,olive throat,a photo of a bird with olive throat.,False,native_source,5522,88,5434,0.01593625498007968,478192,0.6969752735302974,0.0,0.0,0.2
128,129,has_throat_color::green,green throat,a photo of a bird with green throat.,False,native_source,5522,60,5462,0.010865628395508874,327720,0.8269330526058831,0.0,0.0,0.0
129,130,has_throat_color::pink,pink throat,a photo of a bird with pink throat.,False,native_source,5522,26,5496,0.004708438971387179,142896,0.5950201545179711,0.0,0.0,0.1
130,131,has_throat_color::orange,orange throat,a photo of a bird with orange throat.,True,native_source,5522,136,5386,0.02462875769648678,732496,0.6955860509818483,0.0,0.0,0.0
131,132,has_throat_color::black,black throat,a photo of a bird with black throat.,True,native_source,5522,1259,4263,0.22799710249909452,5367117,0.5814552766410719,1.0,1.0,0.9
132,133,has_throat_color::white,white throat,a photo of a bird with white throat.,True,native_source,5522,2016,3506,0.36508511408909816,7068096,0.5693529063555447,1.0,0.6,0.6
133,134,has_throat_color::red,red throat,a photo of a bird with red throat.,True,native_source,5522,218,5304,0.039478449837015574,1156272,0.8214624240663096,0.0,0.0,0.2
134,135,has_throat_color::buff,buff throat,a photo of a bird with buff throat.,False,native_source,5522,796,4726,0.1441506700470844,3761896,0.5869516329000057,0.0,0.0,0.2
135,136,has_eye_color::blue,blue eye,a photo of a bird with blue eye.,False,native_source,5527,56,5471,0.010132078885471322,306376,0.6575808810089563,0.0,0.0,0.0
136,137,has_eye_color::brown,brown eye,a photo of a bird with brown eye.,False,native_source,5527,200,5327,0.03618599601954044,1065400,0.575640135160503,0.0,0.0,0.1
137,138,has_eye_color::purple,purple eye,a photo of a bird with purple eye.,False,native_source,5527,10,5517,0.0018092998009770218,55170,0.5339133587094436,0.0,0.0,0.0
138,139,has_eye_color::rufous,rufous eye,a photo of a bird with rufous eye.,False,native_source,5527,67,5460,0.012122308666546046,365820,0.525019135093762,0.0,0.0,0.0
139,140,has_eye_color::grey,grey eye,a photo of a bird with grey eye.,False,native_source,5527,101,5426,0.018273927989867923,548026,0.5510632707207322,0.0,0.0,0.0
140,141,has_eye_color::yellow,yellow eye,a photo of a bird with yellow eye.,False,native_source,5527,126,5401,0.022797177492310475,680526,0.5707673182214934,0.0,0.0,0.0
141,142,has_eye_color::olive,olive eye,a photo of a bird with olive eye.,False,native_source,5527,17,5510,0.003075809661660937,93670,0.49326358492580336,0.0,0.0,0.0
142,143,has_eye_color::green,green eye,a photo of a bird with green eye.,False,native_source,5527,3,5524,0.0005427899402931065,16572,0.40296886314265024,0.0,0.0,0.0
143,144,has_eye_color::pink,pink eye,a photo of a bird with pink eye.,False,native_source,5527,23,5504,0.0041613895422471505,126592,0.3090637639029323,0.0,0.0,0.0
144,145,has_eye_color::orange,orange eye,a photo of a bird with orange eye.,False,native_source,5527,69,5458,0.01248416862674145,376602,0.6453948731021077,0.0,0.0,0.1
145,146,has_eye_color::black,black eye,a photo of a bird with black eye.,False,native_source,5527,4877,650,0.8823955129364935,3170050,0.49511269538335356,1.0,0.8,0.8
146,147,has_eye_color::white,white eye,a photo of a bird with white eye.,False,native_source,5527,162,5365,0.029310656775827754,869130,0.554391748069909,0.0,0.0,0.1
147,148,has_eye_color::red,red eye,a photo of a bird with red eye.,False,native_source,5527,132,5395,0.02388275737289669,712140,0.6785856713567557,1.0,0.4,0.3
148,149,has_eye_color::buff,buff eye,a photo of a bird with buff eye.,False,native_source,5527,89,5438,0.016102768228695497,483982,0.4739907682517118,0.0,0.0,0.0
149,150,has_bill_length::about_the_same_as_head,bill about the same length as head,a photo of a bird with bill about the same length as head.,True,native_source,5667,2119,3548,0.37391918122463386,7518212,0.5047220668956928,0.0,0.2,0.3
150,151,has_bill_length::longer_than_head,bill longer than head,a photo of a bird with bill longer than head.,True,native_source,5667,348,5319,0.0614081524616199,1851012,0.5344716835979454,0.0,0.0,0.1
151,152,has_bill_length::shorter_than_head,bill shorter than head,a photo of a bird with bill shorter than head.,True,native_source,5667,3247,2420,0.5729662961002294,7857740,0.4623496068844222,1.0,0.6,0.4
152,153,has_forehead_color::blue,blue forehead,a photo of a bird with blue forehead.,False,native_source,5515,303,5212,0.05494106980961015,1579236,0.8921662120164434,0.0,0.6,0.8
153,154,has_forehead_color::brown,brown forehead,a photo of a bird with brown forehead.,False,native_source,5515,998,4517,0.18096101541251133,4507966,0.6503928822888194,1.0,0.2,0.2
154,155,has_forehead_color::iridescent,iridescent forehead,a photo of a bird with iridescent forehead.,False,native_source,5515,124,5391,0.022484134179510427,668484,0.6822691343397898,0.0,0.2,0.2
155,156,has_forehead_color::purple,purple forehead,a photo of a bird with purple forehead.,False,native_source,5515,32,5483,0.005802357207615594,175456,0.6483904796644173,0.0,0.0,0.1
156,157,has_forehead_color::rufous,rufous forehead,a photo of a bird with rufous forehead.,False,native_source,5515,88,5427,0.015956482320942884,477576,0.6043614000703553,0.0,0.0,0.0
157,158,has_forehead_color::grey,grey forehead,a photo of a bird with grey forehead.,False,native_source,5515,1181,4334,0.21414324569356302,5118454,0.6761007327603218,1.0,1.0,0.9
158,159,has_forehead_color::yellow,yellow forehead,a photo of a bird with yellow forehead.,False,native_source,5515,483,5032,0.08757932910244787,2430456,0.8824405790518323,1.0,0.6,0.5
159,160,has_forehead_color::olive,olive forehead,a photo of a bird with olive forehead.,False,native_source,5515,128,5387,0.023209428830462377,689536,0.5975068741878596,0.0,0.0,0.0
160,161,has_forehead_color::green,green forehead,a photo of a bird with green forehead.,False,native_source,5515,53,5462,0.009610154125113327,289486,0.7852400461507638,0.0,0.0,0.0
161,162,has_forehead_color::pink,pink forehead,a photo of a bird with pink forehead.,False,native_source,5515,24,5491,0.004351767905711695,131784,0.6440918472652218,0.0,0.0,0.1
162,163,has_forehead_color::orange,orange forehead,a photo of a bird with orange forehead.,False,native_source,5515,159,5356,0.028830462375339982,851604,0.7069130722730284,0.0,0.2,0.4
163,164,has_forehead_color::black,black forehead,a photo of a bird with black forehead.,False,native_source,5515,1864,3651,0.3379873073436083,6805464,0.5564501553457634,1.0,0.4,0.4
164,165,has_forehead_color::white,white forehead,a photo of a bird with white forehead.,False,native_source,5515,807,4708,0.14632819582955575,3799356,0.6629473521302032,1.0,0.6,0.4
165,166,has_forehead_color::red,red forehead,a photo of a bird with red forehead.,False,native_source,5515,254,5261,0.04605621033544877,1336294,0.7564517987808073,0.0,0.2,0.2
